art_grp_se,archv_artst_nm,nm,vrit_mark_cn,realm_cl,act_relm_cn,birth_year,rsrch_man_nm,url
ARTST,예술인,심현희,Shim hyun hee,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19442
ARTST,예술인,안규철,Ahn kyu chul,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19443
ARTST,예술인,안동숙,安東淑,시각예술,한국화,1922,,https://www.daarts.or.kr/handle/11080/6017
ARTST,예술인,안두진,Ahn Doo-jin,창작음악,창작음악,1955,,https://www.daarts.or.kr/handle/11080/58960
ARTST,예술인,안민수,安民洙,공연예술,연출가,1940,,https://www.daarts.or.kr/handle/11080/60933
ARTST,예술인,안병석,Ahn byeong seok,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19444
ARTST,예술인,안상수,安尙秀,시각예술,타이포그래피,1952,,https://www.daarts.or.kr/handle/11080/73263
ARTST,예술인,안성금,An seong keum,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19445
ARTST,예술인,안수진,Ahn soo jin,시각예술,미술작가,1962,,https://www.daarts.or.kr/handle/11080/19446
ARTST,예술인,안일승,安一承,공연예술,피아노,1925,,https://www.daarts.or.kr/handle/11080/6417
ARTST,예술인,안종연,Ahn jong yuen,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19447
ARTST,예술인,안진희,,시각예술,회화,1965,,https://www.daarts.or.kr/handle/11080/135932
ARTST,예술인,안진희,,시각예술,회화,1965,,https://www.daarts.or.kr/handle/11080/135967
ARTST,예술인,안진희,,시각예술,회화,1965,,https://www.daarts.or.kr/handle/11080/135931
ARTST,예술인,안진희,,시각예술,회화,1965,,https://www.daarts.or.kr/handle/11080/135966
ARTST,예술인,안창홍,Ahn chang hong,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19448
ARTST,예술인,안필연,Ahn pil yun,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19449
ARTST,예술인,안형일,安亨一,공연예술,성악,1927,,https://www.daarts.or.kr/handle/11080/49453
ARTST,예술인,안혜승,Ahn Haisung,창작음악,창작음악,1971,,https://www.daarts.or.kr/handle/11080/58912
ARTST,예술인,안혜윤,Ahn Hye-yoon,창작음악,창작음악,1980,,https://www.daarts.or.kr/handle/11080/58511
ARTST,예술인,양소운,梁蘇云,공연예술,"전통예술, 대중극",1924,,https://www.daarts.or.kr/handle/11080/6405
ARTST,예술인,양자경,Jackie Yang,창작음악,창작음악,1987,,https://www.daarts.or.kr/handle/11080/92481
ARTST,예술인,양정현,梁鼎鉉,공연예술,무대미술,1938,,https://www.daarts.or.kr/handle/11080/73634
ARTST,예술인,양주혜,Yang ju hae,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19450
ARTST,예술인,양지선,Yang Jisun,창작음악,창작음악,1979,,https://www.daarts.or.kr/handle/11080/68768
ARTST,예술인,양해엽,梁海曄,공연예술,바이올린,1929,,https://www.daarts.or.kr/handle/11080/88401
ARTST,예술인,양화선,Yang hwa sun,미술작가,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19451
ARTST,예술인,어효선,魚孝善,문학,아동문학,1925,,https://www.daarts.or.kr/handle/11080/5626
ARTST,예술인,엄덕문,嚴德紋,시각예술,건축,1919,,https://www.daarts.or.kr/handle/11080/5806
ARTST,예술인,엄영자,嚴英子,공연예술,발레,1940,,https://www.daarts.or.kr/handle/11080/6328
ARTST,예술인,엄옥자,嚴玉子,공연예술,한국무용,1943,,https://www.daarts.or.kr/handle/11080/6343
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134436
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134438
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134437
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134440
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134439
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134442
ARTST,예술인,엄재민,,시각예술,미술이론,1926,,https://www.daarts.or.kr/handle/11080/134441
ARTST,예술인,엄정순,Oum jeong soon,미술작가,미술작가,1961,,https://www.daarts.or.kr/handle/11080/19452
ARTST,예술인,엄정윤,嚴丁潤,시각예술,자수공예,1927,,https://www.daarts.or.kr/handle/11080/19453
ARTST,예술인,엄태정,Um tai jung,미술작가,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19454
ARTST,예술인,여석기,呂石基,공연예술,"평론, 연극학",1922,,https://www.daarts.or.kr/handle/11080/6270
ARTST,예술인,여태천,,문학,문학,1971,,https://www.daarts.or.kr/handle/11080/33640
ARTST,예술인,염은경,Yeom eun kyong,시각예술,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19455
ARTST,예술인,오경화,Oh kyung hwa,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19456
ARTST,예술인,오경환,Oh kyung hwan,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/99158
ARTST,예술인,오경환,Oh kyung hwan,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19457
ARTST,예술인,오광섭,Oh kwang seob,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19458
ARTST,예술인,오광수,吳光洙,시각예술,"미술사, 미술평론, 미술행정",1937,,https://www.daarts.or.kr/handle/11080/88412
ARTST,예술인,오낭자,Oh nang ja,시각예술,미술작가,1943,,https://www.daarts.or.kr/handle/11080/19459
ARTST,예술인,오상길,Oh sang ghil,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19460
ARTST,예술인,오상욱,Oh sang wook,미술작가,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19461
ARTST,예술인,오수환,Oh su fan,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19462
ARTST,예술인,오숙환,Oh sook whan,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19463
ARTST,예술인,오순희,Oh soon hee,미술작가,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19464
ARTST,예술인,오승우,吳承雨,시각예술,서양화,1930,,https://www.daarts.or.kr/handle/11080/19465
ARTST,예술인,오승윤,O syng yoon,시각예술,미술작가,1939,,https://www.daarts.or.kr/handle/11080/19466
ARTST,예술인,오예승,Oh Yeseung,창작음악,창작음악,1976,,https://www.daarts.or.kr/handle/11080/52121
ARTST,예술인,오용길,Oh yong kil,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19467
ARTST,예술인,오원배,Oh won bae,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19468
ARTST,예술인,오이돈,Oh Iedon,창작음악,창작음악,1958,,https://www.daarts.or.kr/handle/11080/58324
ARTST,예술인,오이량   吳二良,yiryang Oh,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19469
ARTST,예술인,오정심,"吳貞心, 본명 오정숙吳貞淑",공연예술,대중음악,1925,,https://www.daarts.or.kr/handle/11080/73413
ARTST,예술인,오치균,Oh chi gyun,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19470
ARTST,예술인,오태석,吳泰錫,공연예술,"극작, 연출",1940,,https://www.daarts.or.kr/handle/11080/61178
ARTST,예술인,오태학,吳泰鶴,시각예술,한국화,1938,,https://www.daarts.or.kr/handle/11080/5920
ARTST,예술인,오현경,吳鉉京,공연예술,배우,1936,,https://www.daarts.or.kr/handle/11080/21942
ARTST,예술인,오형근,Oh hyoung kuhn,미술작가,미술작가,1963,,https://www.daarts.or.kr/handle/11080/19471
ARTST,예술인,왕경애,Wang kyung ae,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19472
ARTST,예술인,우관호,Woo kwan ho,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19473
ARTST,예술인,우상기,Woo sang ki,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19474
ARTST,예술인,우순옥,U sun ok,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19475
ARTST,예술인,우제길,Woo jae gil,미술작가,미술작가,1942,,https://www.daarts.or.kr/handle/11080/19476
ARTST,예술인,원경환,Won kyung hwan,미술작가,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19477
ARTST,예술인,원동석,"元東石, 본명 원갑희",시각예술,미술평론,1939,,https://www.daarts.or.kr/handle/11080/73477
ARTST,예술인,원문자,Won moon ja,미술작가,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19478
ARTST,예술인,원우전,元雨田,공연예술,무대미술,1895,,https://www.daarts.or.kr/handle/11080/49367
ARTST,예술인,원인종,Won in jong,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19479
ARTST,예술인,원중식,元仲植,시각예술,"서예, 전각",1941,,https://www.daarts.or.kr/handle/11080/5834
ARTST,예술인,원현미,Won Hyeun-mi,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/52113
ARTST,예술인,유근준,劉槿俊 (Yoo Keun Joon),시각예술,"미학, 미술평론, 미술교육",1934,,https://www.daarts.or.kr/handle/11080/24006
ARTST,예술인,유근택,Yoo geun taek,미술작가,미술작가,1965,,https://www.daarts.or.kr/handle/11080/19480
ARTST,예술인,유도원,Yu Do-won,창작음악,창작음악,1975,,https://www.daarts.or.kr/handle/11080/52229
ARTST,예술인,유리지,Yoo li zzy,미술작가,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19481
ARTST,예술인,유민영,柳敏榮,공연예술,연극학,1937,,https://www.daarts.or.kr/handle/11080/88422
ARTST,예술인,유민희,You Minhee,창작음악,창작음악,1980,,https://www.daarts.or.kr/handle/11080/49322
ARTST,예술인,유범석,Yoo Beom-seok,창작음악,창작음악,1968,,https://www.daarts.or.kr/handle/11080/51410
ARTST,예술인,유병훈,Yoo byeong hoon,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19482
ARTST,예술인,유성일,Yu sung il,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19483
ARTST,예술인,유영교,Yoo young kyo,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19484
ARTST,예술인,유영국,Yoo young kuk,미술작가,미술작가,1916,,https://www.daarts.or.kr/handle/11080/19485
ARTST,예술인,유영주,You young joo,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19486
ARTST,예술인,유옥재,兪玉在,공연예술,한국무용,1945,,https://www.daarts.or.kr/handle/11080/6332
ARTST,예술인,유정옥,劉貞玉,공연예술,현대무용,1944,,https://www.daarts.or.kr/handle/11080/6337
ARTST,예술인,유종호,柳宗鎬,문학,문학평론,1935,,https://www.daarts.or.kr/handle/11080/107187
ARTST,예술인,유주환,"Yu, Ju-hwan",창작음악,창작음악,1968,,https://www.daarts.or.kr/handle/11080/82142
ARTST,예술인,유지원,柳智元,시각예술,한국화,1935,,https://www.daarts.or.kr/handle/11080/5885
ARTST,예술인,유진평,Yoo Jinpyeong,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/68338
ARTST,예술인,유철연,Yu cheol yeon,미술작가,미술작가,1927,,https://www.daarts.or.kr/handle/11080/19487
ARTST,예술인,유학자,兪鶴子,공연예술,한국무용,1941,,https://www.daarts.or.kr/handle/11080/6330
ARTST,예술인,유현목,兪賢穆,대중예술,영화감독,1924,,https://www.daarts.or.kr/handle/11080/6144
ARTST,예술인,유현미,Yoo hyun mi,미술작가,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19488
ARTST,예술인,유호,"劉湖(본명 : 유해준, 또 다른 예명 : 호동아(작사))",대중예술,"극작가, 작사가",1921,,https://www.daarts.or.kr/handle/11080/6472
ARTST,예술인,유휴열,Ryu hu yeol,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19489
ARTST,예술인,유희경,柳喜卿,시각예술,한국복식사,1921,,https://www.daarts.or.kr/handle/11080/5968
ARTST,예술인,유희영,Ryu hee young,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19490
ARTST,예술인,육근병,Yook keun byung,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19491
ARTST,예술인,육완순,陸完順,공연예술,현대무용,1933,,https://www.daarts.or.kr/handle/11080/6295
ARTST,예술인,육태진,Yook tae jin,미술작가,미술작가,1961,,https://www.daarts.or.kr/handle/11080/19492
ARTST,예술인,윤대성,尹大星,공연예술,극작,1939,,https://www.daarts.or.kr/handle/11080/60968
ARTST,예술인,윤명로,尹明老,시각예술,"서양화, 판화",1936,,https://www.daarts.or.kr/handle/11080/19493
ARTST,예술인,윤명화,,공연예술,무용,1969,,https://www.daarts.or.kr/handle/11080/92708
ARTST,예술인,윤목,,시각예술,시각기타,1993,,https://www.daarts.or.kr/handle/11080/136064
ARTST,예술인,윤목,,시각예술,시각기타,1993,,https://www.daarts.or.kr/handle/11080/136065
ARTST,예술인,윤석구,Yoon seok koo,미술작가,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19494
ARTST,예술인,윤석남,Yun suk nam,미술작가,미술작가,1937,,https://www.daarts.or.kr/handle/11080/19495
ARTST,예술인,윤소희,Yoon So-hee,창작음악,창작음악,1957,,https://www.daarts.or.kr/handle/11080/49032
ARTST,예술인,윤승현,Yun Seunghyun,창작음악,창작음악,1966,,https://www.daarts.or.kr/handle/11080/51259
ARTST,예술인,윤영석,Yoon yong seok,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19496
ARTST,예술인,윤영숙,Yoon Youngsook,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/52097
ARTST,예술인,윤영자,尹英子,시각예술,조각,1924,,https://www.daarts.or.kr/handle/11080/5994
ARTST,예술인,윤조병,尹朝炳,공연예술,극작,1938,,https://www.daarts.or.kr/handle/11080/107102
ARTST,예술인,윤중식,Yun jung sik,미술작가,미술작가,1913,,https://www.daarts.or.kr/handle/11080/19497
ARTST,예술인,윤지해,Youn ji hae,미술작가,미술작가,1971,,https://www.daarts.or.kr/handle/11080/19498
ARTST,예술인,윤항기,尹恒起,대중예술,가요 가수,1943,,https://www.daarts.or.kr/handle/11080/120219
ARTST,예술인,윤해중,尹海重,창작음악,작곡,1929,,https://www.daarts.or.kr/handle/11080/84721
ARTST,예술인,윤현진,Yun Hyunjin,창작음악,창작음악,1982,,https://www.daarts.or.kr/handle/11080/61819
ARTST,예술인,윤형근,Yun hyong keun,미술작가,미술작가,1928,,https://www.daarts.or.kr/handle/11080/19499
ARTST,예술인,이강규,Lee Ganggyu,창작음악,창작음악,,,https://www.daarts.or.kr/handle/11080/84261
ARTST,예술인,이강소,Lee kang so,미술작가,미술작가,1943,,https://www.daarts.or.kr/handle/11080/19500
ARTST,예술인,이강숙,李康淑,공연예술,음악학,1936,,https://www.daarts.or.kr/handle/11080/49474
ARTST,예술인,이강우,Lee kang woo,미술작가,미술작가,1965,,https://www.daarts.or.kr/handle/11080/19501
ARTST,예술인,이강율,Ih Kangyul,창작음악,창작음악,1953,,https://www.daarts.or.kr/handle/11080/52354
ARTST,예술인,이건용,Lee kun yong,시각예술,미술작가,1942,,https://www.daarts.or.kr/handle/11080/19502
ARTST,예술인,이경미,Rhee Kyungmee,창작음악,0,1962,,https://www.daarts.or.kr/handle/11080/53634
ARTST,예술인,이경성,李慶成,시각예술,"미술사, 미술평론, 미술행정",1919,,https://www.daarts.or.kr/handle/11080/5828
ARTST,예술인,이경화,Lee Kyunghwa,창작음악,창작음악,1954,,https://www.daarts.or.kr/handle/11080/69040
FARTST,미술작가,강운,Kang un,미술작가,,1966,,https://www.daarts.or.kr/handle/11080/19212
ARTST,예술인,이광노,李光魯,시각예술,"건축문화, 건축설계",1928,,https://www.daarts.or.kr/handle/11080/6028
ARTST,예술인,이구열,"李龜烈, 호: 청여(靑餘)",시각예술,"미술언론, 미술평론, 미술사",1932,,https://www.daarts.or.kr/handle/11080/120011
ARTST,예술인,이구열,李龜烈,시각예술,"미술언론, 미술평론, 미술사",1932,,https://www.daarts.or.kr/handle/11080/88503
ARTST,예술인,이귀숙,Lee Guisook,창작음악,창작음악,1964,,https://www.daarts.or.kr/handle/11080/49212
ARTST,예술인,이규봉,Yi Gyu-bong,창작음악,창작음악,1961,,https://www.daarts.or.kr/handle/11080/58879
ARTST,예술인,이규선,Lee kyu sun,미술작가,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19503
ARTST,예술인,이근형,Lee Keunhyoung,창작음악,창작음악,1969,,https://www.daarts.or.kr/handle/11080/48929
ARTST,예술인,이기봉,Rhee ki bong,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19504
ARTST,예술인,이기칠,Yi gee chil,미술작가,미술작가,1962,,https://www.daarts.or.kr/handle/11080/19505
ARTST,예술인,이기형,李基炯,문학,시,1917,,https://www.daarts.or.kr/handle/11080/5635
ARTST,예술인,이길범,李吉範,시각예술,한국화,1927,,https://www.daarts.or.kr/handle/11080/5882
ARTST,예술인,이남림,Lee Namlim,창작음악,창작음악,1959,,https://www.daarts.or.kr/handle/11080/52162
ARTST,예술인,이대원,李大源,시각예술,서양화,1921,,https://www.daarts.or.kr/handle/11080/6024
ARTST,예술인,이돈응,Lee Donoung,창작음악,창작음악,1955,,https://www.daarts.or.kr/handle/11080/64394
ARTST,예술인,이동기,Lee dongi,미술작가,미술작가,1967,,https://www.daarts.or.kr/handle/11080/19506
ARTST,예술인,이동엽,Lee dong youb,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19507
ARTST,예술인,이두식,Lee doo shik,미술작가,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19508
ARTST,예술인,이두현,李杜鉉,공연예술,"평론, 연극학",1924,,https://www.daarts.or.kr/handle/11080/6484
ARTST,예술인,이만방,Yi Manbang,창작음악,창작음악,1945,,https://www.daarts.or.kr/handle/11080/49614
ARTST,예술인,이매방,李梅芳,공연예술,한국무용,1926,,https://www.daarts.or.kr/handle/11080/92879
ARTST,예술인,이명동,李命同,시각예술,사진,1920,,https://www.daarts.or.kr/handle/11080/5822
ARTST,예술인,이명미,Lee myung mi,미술작가,미술작가,1950,,https://www.daarts.or.kr/handle/11080/19509
ARTST,예술인,이명환,,시각예술,시각기타,1962,,https://www.daarts.or.kr/handle/11080/92450
ARTST,예술인,이문석,Lee Munsuk,창작음악,창작음악,1978,,https://www.daarts.or.kr/handle/11080/58273
ARTST,예술인,이문희,Lee Moonhee,창작음악,창작음악,,,https://www.daarts.or.kr/handle/11080/88326
ARTST,예술인,이미라,李美羅,공연예술,한국무용,1930,,https://www.daarts.or.kr/handle/11080/21946
ARTST,예술인,이민구,,공연예술,연극,1991,,https://www.daarts.or.kr/handle/11080/135802
ARTST,예술인,이민구,,공연예술,연극,1991,,https://www.daarts.or.kr/handle/11080/135803
ARTST,예술인,이민주,MinJoo Lee,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19510
ARTST,예술인,이병무,Lee Byung-moo,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/52179
ARTST,예술인,이병복,李秉福,공연예술,무대미술,1927,,https://www.daarts.or.kr/handle/11080/6227
ARTST,예술인,이병옥,,공연예술,무용,1947,,https://www.daarts.or.kr/handle/11080/70447
ARTST,예술인,이복남,Lee Boknam,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/58933
ARTST,예술인,이봉열,Lee bong real,미술작가,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19511
ARTST,예술인,이상만,李相萬,공연예술,평론,1935,,https://www.daarts.or.kr/handle/11080/24130
ARTST,예술인,이상명,Lee sang myung,미술작가,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19512
ARTST,예술인,이상일,李相日,공연예술,"무용평론, 연극평론, 민속학",1933,,https://www.daarts.or.kr/handle/11080/111800
ARTST,예술인,이상일,Lee sang il,시각예술,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19513
ARTST,예술인,이상현,Lee sang hyun,미술작가,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19514
ARTST,예술인,이석주,Lee suk ju,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19515
ARTST,예술인,이선옥,李先玉,공연예술,"현대무용, 선무용(Zen Dance)",1943,,https://www.daarts.or.kr/handle/11080/45187
ARTST,예술인,이선우,Lee sun woo,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19516
ARTST,예술인,이성근,Lee sung keun,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19517
ARTST,예술인,이성순,Lee sung soon,미술작가,미술작가,1943,,https://www.daarts.or.kr/handle/11080/19518
ARTST,예술인,이성자,Seundja Rhee,시각예술,미술작가,1918,,https://www.daarts.or.kr/handle/11080/19519
ARTST,예술인,이성재,李誠載,공연예술,작곡,1924,,https://www.daarts.or.kr/handle/11080/6287
